cyc,detuning,freq,VVA,time,buffer,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,-5,42.2227,0,20,21,21,19072.8,-0.301765,38.02,11.7967,118.379,0.0993318,-72.857,320.712,-6.17951,-4.2448,-12.0229,-3.09603,-8.12377,-242.331,10424.1,17.1209,9897.32,14836.1,-4.65362,-2.71891,-8.97113,-1.57014,-6.59788,0.634006,10617.1,34.6687,10090.3,0.51272,0.994318,0.00628935,20707.5,-0.00136892,1.12854,12.0064,9.65227,117.889,85.6471,0.972119,11.762,10.6662,117.749,134.417,0.13954,-48.7697 
22,-3.93,43.2927,3.5,20,21,22,17819.6,-0.365799,35.9037,11.9362,118.06,0.488142,-123.203,117.449,-3.12261,-2.65363,-5.76904,-5.54417,-7.68064,-185.122,10106.9,5.15896,9198.54,15908.6,-1.95695,-1.48796,-3.43771,-4.3785,-6.51498,0.806611,10254.4,18.5641,9345.99,0.523173,0.996842,0.00364567,19600.4,-0.00167092,1.07562,12.1593,9.72757,117.616,85.4699,0.908968,11.8679,10.6005,117.417,134.148,0.199031,-48.6781 
23,-4.115,43.1077,3.5,20,21,23,18809.2,-0.0469442,37.446,-11.7783,118.144,0.0431661,-109.185,500,-4.40911,-4.14034,-9.6171,-5.77619,-0.57039,-135.955,10367.2,6.12068,9846.62,14511.1,-3.55303,-3.28427,-7.90495,-4.92012,0.285682,0.592038,10475.4,15.9655,9954.92,0.512739,0.99734,0.00294563,20430.4,-0.00151639,1.09496,11.9651,9.9215,117.614,86.0156,0.947019,11.876,10.8098,117.509,134.756,0.1052,-48.7402 
24,-5,42.2227,0,20,21,24,20035.2,-0.100911,38.8841,-11.9497,118.215,0.0320279,3.60632,3.89732e-07,-1.44025,-0.555896,-4.95659,-2.42978,-3.69944,-121.618,10487.8,39.6746,10739.6,15129.7,-0.674453,0.209898,-3.425,-1.66398,-2.93364,0.59645,10584.7,48.4812,10836.5,0.494123,0.992048,0.00817399,21421.2,-0.00133094,1.09366,12.0005,9.96312,117.692,86.0238,1.00011,12.1394,10.9754,117.689,134.878,0.00230421,-48.8544 
25,-3.795,43.4277,3.5,20,21,25,19227.4,0.0123634,38.0391,11.7987,118.092,-0.03239,8.2825,3.21512e-12,-6.32818,-4.92044,-8.12069,-1.59532,-1.86436,-193.707,10628.1,11.7821,10087.6,14619,-5.10846,-3.70072,-5.68125,-0.375597,-0.644644,0.63372,10782.4,25.8088,10241.9,0.512855,0.995829,0.00462054,21024.3,-0.0015889,1.10547,12.1324,9.93996,117.694,85.0956,0.989447,11.8649,10.5946,117.437,133.857,0.25624,-48.7612 
26,-4.205,43.0177,3.5,20,21,26,19073.7,-0.0210075,37.7078,11.7898,118.093,-0.0278081,-52.5737,500,-4.3561,-4.47971,-7.05596,-2.94144,-1.42263,-200.991,10648.2,30.4331,9766.08,14519.8,-3.09052,-3.21413,-4.52479,-1.67586,-0.157041,0.642658,10808.3,44.9873,9926.18,0.521271,0.992769,0.00827965,20734.5,-0.00145208,1.10865,12.0056,9.98576,117.551,85.7232,0.944173,11.8944,10.7742,117.566,134.516,-0.0146342,-48.7927 
27,-4.04,43.1827,3.5,20,21,27,17663.4,-0.022222,36.1047,11.5356,118.231,-0.0459447,41.5253,500,-1.69321,-5.64763,-4.65806,-3.3875,-4.42888,-175.142,9901.51,5.88848,9298.73,13620.2,-0.590388,-4.5448,-2.45241,-2.28467,-3.32606,0.814188,10041,18.5709,9438.24,0.515472,0.996774,0.00361149,19479.3,-0.00163219,1.0884,11.8695,9.63065,117.781,85.2968,0.934786,11.7083,10.4809,117.605,133.798,0.175373,-48.5008 
28,-3.825,43.3977,3.5,20,21,28,18538.5,-0.11531,37.0526,-11.7506,118.178,-0.117735,135.801,500,-6.4847,-6.67299,-12.2201,-4.7513,-2.25864,-231.963,10375.2,18.6228,9559.35,14693.8,-5.02409,-5.21238,-9.29883,-3.29069,-0.798025,0.606382,10560,35.4198,9744.12,0.520091,0.994164,0.00665151,20304.1,-0.00153402,1.12764,12.0001,9.59969,117.843,84.6909,0.950649,11.9119,10.4721,117.53,133.521,0.312744,-48.83 
29,-4.145,43.0777,3.5,20,21,29,19489.8,-0.0190004,38.5264,11.8247,118.17,-0.038535,14.6852,500,-4.11826,-8.14631,-5.89398,0.119649,-4.71144,-177.739,10495.7,40.3532,10373.4,14848.4,-2.99908,-7.02714,-3.65564,1.23882,-3.59227,0.772026,10637.2,53.2237,10515,0.502889,0.99132,0.00923802,21152.2,-0.00152088,1.14093,11.9357,9.63321,117.732,85.4615,1.01178,12.0143,10.5941,117.59,134.154,0.141456,-48.6927 
30,-3.855,43.3677,3.5,20,21,30,19097.7,-0.2881,37.7551,11.8528,118.249,0.0900263,187.341,24.1632,-3.04633,-4.61944,-8.31669,1.8434,-1.36742,-240.75,10505.1,10.7662,9799.42,15116.7,-1.53039,-3.10351,-5.28482,3.35934,0.148517,0.175647,10696.8,28.1995,9991.19,0.517055,0.995408,0.00517233,20688,-0.00133917,1.12037,12.0733,9.74594,117.609,85.9136,0.968026,11.8034,10.573,117.77,134.761,-0.160533,-48.8476 
