cyc,wait,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
101,10.01,2.5,101,3318.78,-0.259767,10.1941,9.96139,91.1501,0.527348,-125.058,410.159,-0.717475,1.05682,-0.00308664,-0.564172,-0.793065,1.37117,1434.27,13.5535,3369,5452.56,-0.726109,1.04819,-0.0203544,-0.572806,-0.801699,0.981026,1432.45,13.5179,3367.18,0.325886,0.983754,0.00734105,4395.57,967.695,3415.48,18484.2,-0.00115355,0.195947,9.21548,8.3377,91.9464,68.5229,0.435837,9.58065,9.43997,90.5163,118.643,1.43009,-50.1202 
102,70.01,2.5,102,2391.44,-0.0377639,7.36236,9.94795,90.7214,-0.0212555,-9.73648,467.111,1.25556,0.550858,0.841187,0.117809,1.57265,-27.2616,1030.85,9.55806,2702.79,2390.95,1.42722,0.722517,1.18451,0.289468,1.74431,0.77934,1066.96,10.2662,2738.91,0.306846,0.983441,0.00685736,3477.2,625.982,1782.1,11461,-0.00111167,0.12855,9.81296,8.90326,91.6071,68.0096,0.337602,9.7473,9.53487,90.4014,118.329,1.20572,-50.3196 
103,100.01,2.5,103,2158.99,-0.000770277,-6.38063,10.3752,91.6799,0.0127645,2.88969,500,1.01894,-2.018,-0.237228,0.358371,-1.00909,-50.7709,919.468,5.40583,2575.13,2156.24,1.33863,-1.69831,0.402154,0.678062,-0.689399,-11.9151,986.723,6.72455,2642.38,0.297922,0.988214,0.00466607,3312.02,534.79,1322.9,9460.18,-0.00100718,0.105989,10.1722,8.65815,91.835,68.7884,0.296855,10.0676,9.76168,91.0021,118.802,0.832928,-50.0137 
104,30.01,2.5,104,3024.81,-0.252285,9.31077,10.1295,90.967,0.820997,129.941,348.085,-1.40178,-0.37675,3.17944,-0.797068,-1.00572,-5.03907,1341.96,10.095,3119.56,6543.03,-1.37005,-0.345021,3.2429,-0.765338,-0.973994,16.3328,1348.63,10.2258,3126.24,0.328957,0.986905,0.00598939,4099.73,822.001,3037.08,15255.8,-0.00116114,0.178425,9.42246,8.7256,91.8586,69.1779,0.390719,9.77834,9.49906,90.349,119.185,1.50964,-50.0076 
105,0.01,2.5,105,2936.29,-0.0334328,8.57535,10.1435,90.7211,-0.0806244,-29.2889,500,-0.410328,-0.488227,-1.04498,0.793987,-0.00847125,-19.2804,1363.12,12.9763,2968.02,2908.48,-0.288924,-0.366823,-0.802177,0.91539,0.112933,-0.867259,1388.66,13.4771,2993.56,0.345181,0.9833,0.00822498,4023,740.299,2845.28,13349.5,-0.00108739,0.16919,9.7116,8.75944,90.8899,68.6132,0.35781,10.0203,9.65074,90.2541,118.465,0.635805,-49.8516 
106,50.01,2.5,106,2474.95,-0.0788289,7.65334,10.1811,91.4946,-0.369037,137.671,6.6112e-08,0.0308582,-0.989888,-0.652903,-1.24802,0.894693,-30.8063,1128.95,11.6244,2784.48,4190.43,0.224837,-0.795908,-0.264945,-1.05404,1.08867,0.669392,1169.76,12.4245,2825.29,0.319955,0.981752,0.00803578,3656.01,637.799,1998.42,11463.9,-0.00116411,0.134448,10.2818,8.87075,91.9262,69.0531,0.332226,10.0563,9.57677,90.8083,119.571,1.11791,-50.5183 
107,80.01,2.5,107,2441.11,-0.00170862,7.62944,9.8201,90.9415,0.00120762,8.04678,1.67148e-13,0.410944,1.57086,1.60592,0.21694,0.906402,-31.2915,1012.04,10.5403,2784.58,2439.27,0.607978,1.76789,1.99999,0.413975,1.10344,0.660632,1053.49,11.3531,2826.03,0.297562,0.98149,0.00734596,3540.39,636.947,1727.78,11865.3,-0.0011153,0.126922,9.77215,8.79492,91.4594,69.0504,0.339627,9.82379,9.69638,90.2964,119.196,1.16294,-50.146 
108,90.01,2.5,108,2340.82,-0.0396237,7.37772,-9.65124,91.1318,0.0353571,-10.2444,500,0.113874,-0.500312,-0.990323,-0.795343,0.790576,-31.6059,892.434,11.7782,2722.76,2329.72,0.312888,-0.301298,-0.592296,-0.596329,0.98959,-2.15983,934.301,12.5991,2764.62,0.277474,0.976945,0.00832507,3367.17,591.348,1462.96,11019,-0.00100214,0.118558,9.42386,8.56737,91.5233,68.6902,0.327143,9.80331,9.69874,90.7347,119.089,0.788559,-50.3984 
109,40.01,2.5,109,2614,-0.216687,-8.27821,-9.82734,90.408,0.231615,-100.532,219.225,-0.546598,1.28346,-1.19765,0.0147781,0.0826762,-23.2688,1114.15,10.9614,2845.41,3406.3,-0.400081,1.42998,-0.904619,0.161296,0.229194,2.75393,1144.98,11.5658,2876.23,0.311468,0.98263,0.00735296,3676.06,665.429,1949.05,12442.6,-0.000995746,0.136859,9.53669,8.95595,91.1643,68.4999,0.357003,9.45261,9.5593,89.9204,118.863,1.24388,-50.3628 
110,60.01,2.5,110,2786.7,-0.221802,8.47175,10.1141,91.1066,0.333387,-338.929,400.535,-0.532639,-0.732177,1.70155,-1.6084,0.374332,-37.0637,1168.19,6.24054,2938.24,6467.65,-0.299258,-0.498797,2.16831,-1.37502,0.607712,-2.59617,1217.29,7.20323,2987.34,0.316496,0.989751,0.00442214,3846.15,698.356,2276.49,12940.7,-0.00102062,0.152728,9.275,8.80848,91.5285,68.4706,0.352984,9.98099,9.61772,90.6678,118.168,0.860759,-49.6978 
111,20.01,2.5,111,3375.54,-0.206517,9.79363,9.87797,91.2448,0.832165,-100.581,441.1,0.208638,0.0785742,-0.27107,1.48369,-0.876344,-8.6155,1415.94,11.7921,3303.81,5873.96,0.262888,0.132824,-0.162571,1.53794,-0.822094,1.17131,1427.35,12.0159,3315.22,0.328523,0.985482,0.00663237,4344.74,896.638,3105.7,17146.1,-0.000884365,0.184862,9.11695,8.51161,91.9859,68.2913,0.422651,9.42591,9.43878,90.6932,118.595,1.29268,-50.3039 
112,10.01,2.5,112,3264.45,-0.212955,9.32674,10.2803,91.3445,-0.645436,-59.3646,0.0117803,1.39818,0.817025,0.505891,-0.213806,-0.943012,11.8224,1351.97,9.3118,3208.26,4368.57,1.32373,0.742583,0.357006,-0.288249,-1.01745,0.680566,1336.31,9.00472,3192.6,0.322329,0.988345,0.0051688,4145.8,838.809,2874.87,15886,-0.000929981,0.170323,9.6803,8.77724,91.9786,68.1547,0.401188,9.65309,9.46648,90.8532,117.66,1.12534,-49.5051 
113,70.01,2.5,113,2533.12,-0.0707975,7.97628,9.86885,90.5816,-0.00487147,59.0824,500,-0.211534,1.41052,0.773047,1.32791,-0.513107,-12.5666,1075.43,7.49764,2814.14,2571.86,-0.132405,1.48965,0.931304,1.40704,-0.433979,0.714465,1092.07,7.82405,2830.79,0.304779,0.987618,0.00506563,3583.17,680.043,2138.05,12444.2,-0.00112286,0.150572,9.46446,8.23881,91.5303,68.334,0.351444,9.76865,9.53553,90.113,118.723,1.41734,-50.3887 
114,100.01,2.5,114,1967.3,-0.22031,-6.77124,10.0006,91.0827,0.152073,-237.317,55.4801,0.166137,1.8624,1.15826,0.421427,1.70869,-19.5075,805.565,7.5756,2454.38,3379.22,0.28897,1.98523,1.40393,0.54426,1.83152,0.768096,831.406,8.08229,2480.22,0.275848,0.983272,0.00596704,3014,521.295,1267.79,9298.25,-0.00106751,0.108042,9.98801,8.38288,91.6591,67.8492,0.307484,9.4787,9.55043,90.4157,118.052,1.24345,-50.2031 
115,30.01,2.5,115,2740.38,-0.104921,8.31945,10.0942,90.6247,0.164839,-103.278,500,-1.03047,1.16409,0.783206,1.32089,-1.38031,-39.2669,1217.86,9.74966,2938.72,3287.96,-0.783221,1.41134,1.27771,1.56815,-1.13306,0.454184,1269.88,10.7696,2990.73,0.325466,0.985376,0.00658967,3901.72,713.423,2586.1,12951.7,-0.00114676,0.163927,9.52351,8.64317,90.9506,68.4104,0.355421,9.97924,9.53253,90.0974,118.286,0.8532,-49.8756 
116,0.01,2.5,116,3158.69,-0.235769,9.14521,10.426,90.3083,0.523729,-209.593,419.884,-0.181687,-0.112329,0.295529,0.920339,0.750969,-19.3123,1393.31,10.8706,3165.57,6677.27,-0.0600825,0.0092756,0.538739,1.04194,0.872574,0.775754,1418.9,11.3722,3191.15,0.335666,0.986168,0.00652182,4227.11,812.838,3015.4,15072.6,-0.00100732,0.178003,9.44964,8.62992,90.8503,68.3392,0.385887,9.94006,9.4495,89.8459,118.209,1.00441,-49.8695 
117,50.01,2.5,117,2386.21,-0.220177,7.98948,9.61273,90.8857,0.479576,4.25391,14.8083,0.82275,-0.756593,1.28099,0.765921,0.471401,-36.5795,1059.78,10.587,2723.52,2566.53,1.05308,-0.526262,1.74165,0.996252,0.701732,0.560905,1108.24,11.5371,2771.98,0.312393,0.982108,0.00760861,3547.58,639.562,2040.08,11660.8,-0.00110303,0.147155,9.17347,8.50083,91.4257,68.5161,0.348345,9.48746,9.36928,90.5016,118.641,0.924123,-50.1248 
118,80.01,2.5,118,2013.12,-0.0368613,-6.66414,9.7174,90.7649,0.0915515,-35.2869,0.00124448,0.569922,1.02648,-0.163076,1.00315,0.388721,-13.2271,894.031,11.6628,2447.16,2213.26,0.653209,1.10976,0.00349822,1.08644,0.472009,0.998948,911.552,12.0064,2464.68,0.295913,0.977469,0.00889378,3080.47,539.579,1543.72,9550.19,-0.00112664,0.124824,9.43265,8.3445,91.5554,68.8222,0.310945,9.80202,9.29345,90.4031,119.04,1.15228,-50.2181 
119,90.01,2.5,119,2014.41,-0.00372396,-6.95707,9.36763,90.9426,-0.00110899,11.5276,0.000816351,1.93917,0.409998,-0.0992923,3.36519,1.24923,-42.0383,849.34,12.7264,2543.9,2121.96,2.20388,0.674702,0.430116,3.62989,1.51393,0.949114,905.027,13.8183,2599.58,0.283471,0.973976,0.00969688,3192.66,548.818,1347.16,9939.16,-0.00116152,0.110639,9.43153,9.05209,91.4715,69.1065,0.314142,9.60931,9.65242,90.4775,119.359,0.994064,-50.2526 
120,40.01,2.5,120,2905.56,0.00286261,9.10288,9.40374,90.6933,-0.017757,6.50891,3.53522e-13,-0.884837,0.920358,0.861954,-1.2662,-1.83701,-25.2112,1249.46,7.1635,3116.51,2790.36,-0.726089,1.07911,1.17945,-1.10745,-1.67826,1.94112,1282.86,7.81834,3149.91,0.316382,0.989447,0.00455145,4054.78,816.456,2814.32,15378.5,-0.00119823,0.175392,9.16874,8.57698,91.3117,68.2156,0.39536,9.58738,9.53733,90.2316,118.188,1.08012,-49.9725 
121,60.01,2.5,121,2496.77,-0.143891,7.93775,10.0903,90.7846,-0.123261,17.7101,500,-0.858882,-0.262302,0.17322,0.796365,0.735832,25.3637,1089.54,4.54939,2816.25,2678.39,-1.01859,-0.42201,-0.146197,0.636656,0.576123,0.609117,1055.94,3.89059,2782.65,0.301296,0.993593,0.00256894,3504.68,668.265,2090.57,12160.3,-0.00120969,0.142533,9.92786,8.58772,91.6121,67.5908,0.342822,10.0723,9.53344,90.1234,117.7,1.48867,-50.1088 
122,20.01,2.5,122,2759.83,-0.213863,8.61874,9.77785,91.5888,0.294342,-243.885,500,0.287922,-1.07355,-1.14726,1.30382,0.98899,-4.05214,1297.36,10.3856,2829.58,5080.21,0.313437,-1.04804,-1.09623,1.32933,1.01451,3.13689,1302.73,10.4908,2834.95,0.343051,0.986103,0.00677062,3797.49,724.812,2846.1,12989.7,-0.00103239,0.176068,9.2031,8.467,92.3149,67.633,0.369594,9.47479,9.26775,90.9883,117.749,1.32662,-50.1157 
123,10.01,2.5,123,2834.95,-0.111107,8.59985,9.80935,90.5415,0.362068,124.345,500,1.32223,-2.28994,0.221462,-0.551643,-0.757059,30.1624,1172.53,6.47315,2987.01,4211.75,1.1323,-2.47987,-0.158388,-0.741567,-0.946984,0.950419,1132.58,5.68971,2947.06,0.303967,0.991285,0.00354384,3725.99,747.446,2486.21,13988.7,-0.00100369,0.165469,9.23818,8.27677,91.1629,69.5424,0.379704,9.49599,9.45699,90.0024,119.919,1.16049,-50.3764 
124,70.01,2.5,124,2166.04,-0.225835,-7.17648,10.1247,90.7118,0.426595,-134.543,181.329,0.226694,-0.935306,1.33027,1.16298,-0.0961009,-8.79315,918.042,8.13373,2600.22,4233.72,0.282062,-0.879938,1.44101,1.21835,-0.0407327,0.286895,929.69,8.36212,2611.86,0.287996,0.984503,0.00586309,3228.13,586.097,1494.08,10655.9,-0.00108211,0.120603,9.55819,8.3531,91.1487,67.339,0.328864,9.6596,9.40056,90.1928,117.276,0.955935,-49.9366 
125,100.01,2.5,125,2061.43,-0.00214995,-6.61986,9.84489,90.6685,0.000683572,14.2848,9.81903e-12,0.212342,0.704635,-0.20547,1.71099,-2.10385,-23.814,839.045,10.4291,2554.09,2121.88,0.362293,0.854585,0.0944313,1.86094,-1.9539,0.922492,870.591,11.0476,2585.64,0.276734,0.978275,0.00780928,3145.95,559.938,1297.92,10137.1,-0.0011161,0.109342,9.99335,8.34942,91.1108,67.7374,0.317373,9.8226,9.46067,90.1381,117.96,0.972739,-50.2222 
126,30.01,2.5,126,2700.42,-0.0300976,7.7537,10.3324,90.825,0.00256779,80.3416,500,0.601396,-1.05151,-2.0519,0.479498,0.299404,7.32324,1191.86,9.19413,2853.99,2614.69,0.555284,-1.09763,-2.14412,0.433385,0.253291,-0.072175,1182.16,9.00392,2844.29,0.320791,0.986846,0.00579759,3685.13,670.67,2175.97,12248.8,-0.000999744,0.145728,9.78586,8.75301,91.5269,68.6549,0.347645,9.91224,9.45244,90.1267,118.686,1.40026,-50.031 
127,0.01,2.5,127,3233.97,-0.274268,9.42541,10.7528,90.6688,0.570136,-18.3239,365.59,-2.07371,-1.75261,-0.400377,1.03552,0.229151,11.6683,1503.24,10.9712,3258.61,3639.34,-2.14718,-1.82608,-0.547321,0.962046,0.155679,0.839159,1487.78,10.6681,3243.15,0.342668,0.987607,0.00602298,4341.76,870.371,3502.04,15902.8,-0.00120883,0.188015,9.95962,8.64245,91.1076,68.6571,0.389353,10.2437,9.5054,90.1936,118.788,0.913952,-50.1312 
128,50.01,2.5,128,2257.46,-0.218839,-7.16475,10.3077,91.2611,0.184048,-304.366,435.282,-0.630217,-1.10933,-0.0169416,-0.446972,1.26287,-24.6404,1012.97,10.3578,2561.3,4227.7,-0.475063,-0.954179,0.293366,-0.291818,1.41802,31.3254,1045.61,10.9979,2593.94,0.31416,0.981926,0.00774969,3328.28,575.193,1871,10164.5,-0.00108229,0.134415,9.89158,8.66751,91.9269,68.3768,0.321426,9.68626,9.34341,90.7593,118.467,1.16761,-50.0903 
129,80.01,2.5,129,2299.11,0.00143963,7.38737,-9.68205,91.0522,-0.00212425,6.92943,2.12118e-11,-0.714011,-1.64858,0.222381,0.398906,0.735099,1.90651,902.49,7.81918,2696.67,2328.85,-0.726016,-1.66058,0.198371,0.386901,0.723094,1.18398,899.964,7.76966,2694.15,0.27515,0.985117,0.00528438,3270.81,625.112,1630.75,11645.9,-0.00113901,0.127638,9.48085,8.50472,91.8536,68.362,0.341614,9.76238,9.44884,90.5664,118.559,1.28717,-50.197 
130,90.01,2.5,130,2224.8,-0.21319,7.13858,10.1564,91.2307,0.0847141,23.3275,443.585,0.628338,0.0860599,-0.19462,-1.64169,1.47746,-49.3657,912.288,5.87777,2646.94,2424.52,0.939181,0.396902,0.427065,-1.33085,1.7883,0.80768,977.682,7.15999,2712.33,0.290585,0.987346,0.00483924,3364.53,580.956,1454.41,10599.9,-0.00107784,0.116017,9.74084,8.67531,91.7033,69.1809,0.322872,9.85115,9.54414,90.7548,119.282,0.948492,-50.1008 
131,40.01,2.5,131,2586.24,-0.0428077,-8.06531,9.5706,90.454,0.051245,-55.4224,499.988,-0.0589592,0.865441,0.23657,0.0847577,-1.0349,-59.6999,1187.52,14.6888,2758.64,2605.24,0.316955,1.24136,0.988399,0.460672,-0.658983,0.579118,1266.6,16.2395,2837.72,0.336522,0.978055,0.0104319,3763.8,665.019,2437.47,11849.2,-0.00103808,0.16228,9.23296,8.49963,90.9277,68.2852,0.348762,9.54667,9.42455,89.9914,118.494,0.936322,-50.2091 
132,60.01,2.5,132,2621.91,-0.250134,-8.39162,10.1669,90.9541,0.259279,-46.9796,0.00283192,0.729797,-0.541886,-1.4859,0.26021,-0.548111,-23.2976,1075.95,9.36964,2954.15,3173.86,0.876496,-0.395187,-1.1925,0.406908,-0.401412,-0.689823,1106.81,9.97477,2985.01,0.296445,0.984474,0.00611796,3733.62,727.942,2087.28,13740.6,-0.00117461,0.148337,9.23346,8.48135,91.7546,67.9382,0.369814,9.81104,9.52756,90.4053,117.955,1.34923,-50.0172 
133,20.01,2.5,133,2624.05,-0.204108,-8.39992,9.7048,91.571,0.058558,69.8352,217.625,-0.579205,0.40453,-0.634579,-0.91371,-0.747988,-20.3636,1242.31,14.2536,2741.34,2786.86,-0.450981,0.532754,-0.378131,-0.785486,-0.619764,0.77778,1269.28,14.7825,2768.32,0.342549,0.980026,0.00974079,3705.4,689.424,2745.83,12173.8,-0.00104764,0.173158,9.22279,8.47223,92.158,67.5746,0.360765,9.36096,9.22743,91.052,117.555,1.106,-49.9807 
134,10.01,2.5,134,3540.7,-0.129103,10.3914,9.6267,90.6648,0.190202,17.3415,1.26346e-08,-0.237071,-0.513905,2.90946,0.772131,0.273839,-12.4079,1433.9,10.8045,3473.86,3363.84,-0.158942,-0.435776,3.06572,0.85026,0.351969,0.165389,1450.34,11.1268,3490.3,0.320743,0.986752,0.00583821,4521.8,1015.1,3568.17,19710.4,-0.000996387,0.199576,9.17463,8.41561,91.5384,68.8007,0.459224,9.33002,9.31325,90.0588,119.012,1.47964,-50.2115 
135,70.01,2.5,135,2549.19,-0.0207472,7.98132,9.55906,90.6761,-0.0193689,34.4472,499.879,0.781517,1.63318,2.21972,0.809022,0.874484,-40.5033,1042.01,9.67536,2859.13,2505.34,1.03656,1.88821,2.7298,1.06406,1.12952,0.652173,1095.66,10.7274,2912.78,0.29945,0.983155,0.00673852,3658.91,705.568,2025.7,13277.8,-0.0011953,0.143187,9.69697,8.45587,91.2002,68.3327,0.364854,9.63105,9.61899,90.2657,118.639,0.934488,-50.306 
136,100.01,2.5,136,2035.72,-0.233841,-6.8677,10.3001,90.6803,0.392021,-329.061,196.489,0.463809,1.1362,3.12672,1.03749,-1.01996,-18.8229,868.866,7.01305,2479.51,6502.1,0.582332,1.25472,3.36376,1.15601,-0.901434,0.383407,893.801,7.50196,2504.44,0.288536,0.985524,0.00548767,3097.71,520.555,1390.31,9188.62,-0.00116871,0.112199,9.73619,8.97113,91.3286,67.8196,0.292079,10.0305,9.94325,90.1648,117.848,1.16379,-50.0287 
137,30.01,2.5,137,2429.54,-0.204551,7.68485,10.1787,90.6495,0.0181373,49.8376,500,-0.257179,0.496023,0.147875,-0.393771,1.31963,-18.8695,1117.23,6.89088,2694.89,2575.8,-0.138362,0.614839,0.385507,-0.274954,1.43845,0.809671,1142.22,7.381,2719.88,0.323053,0.988818,0.00497409,3535.72,641.284,2221.39,11387.7,-0.00113229,0.150483,9.82633,8.30647,91.1034,68.0177,0.339119,9.77243,9.36581,90.0149,117.984,1.08854,-49.9663 
138,0.01,2.5,138,3162.76,-0.236735,9.20557,10.3792,90.6079,1.08417,2279.22,92.4379,1.08373,-0.0803468,2.60715,1.23767,-0.0821601,5.513,1434.3,10.4773,3099.52,83551.5,1.04901,-0.115061,2.53772,1.20295,-0.116874,0.443208,1427,10.3341,3092.22,0.344008,0.987485,0.0061186,4148.15,841.56,3410.88,15353.1,-0.00105874,0.190648,9.5597,8.52792,91.0565,67.8786,0.396789,9.87812,9.15527,90.0523,117.717,1.00413,-49.8379 
139,50.01,2.5,139,2497.04,-0.24652,8.23559,9.98051,91.5916,-0.114665,231.283,326.383,-0.751701,-0.191152,1.41653,1.61777,0.480975,-55.9218,1099.58,9.4592,2811.68,3539.05,-0.399577,0.160972,2.12078,1.96989,0.8331,0.547342,1173.66,10.9117,2885.76,0.316084,0.98399,0.00691725,3713.12,693.956,2340.03,12547,-0.00124105,0.15484,9.72477,8.47188,92.1054,67.9221,0.356159,9.62745,9.53448,91.0579,118.211,1.04752,-50.2891 
