cyc,wait,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
20,90.01,0,20,3746,-0.0575154,10.6811,9.76049,90.9007,0.136665,-54.4414,500,0.682774,-0.0118192,0.81238,1.95687,0.341144,-100.031,272.859,15.7231,4957.78,3635.98,1.31264,0.618047,2.07211,2.58673,0.97101,0.725931,405.367,18.3213,5090.28,0.0829852,0.926703,0.00658655,4884.82,1634.13,322.069,38912.2,-26.2515,26.2559,8159.55,4734.48,78.0389,78.8185,0.630393,9.48658,9.45272,90.6158,120.249,-12.5769,-41.43 
21,40.01,0,21,3661.2,-0.000652018,10.621,9.49975,90.3166,-0.00193948,7.11463,8.03319e-12,0.810707,-0.522498,0.202624,0.316696,-0.283167,-28.1807,236.114,9.98031,4824.51,3284.97,0.988154,-0.345051,0.557516,0.494142,-0.105721,0.649149,273.444,10.7123,4861.84,0.060073,0.935842,0.00404237,4551.87,1641.08,310.862,39237.6,-50.9727,50.9766,12239.1,6864.29,82.905,75.4937,0.647782,9.22101,9.32275,90.1047,118.987,-7.19971,-43.4935 
22,60.01,0,22,3371.55,-0.230456,9.95149,9.98523,90.7438,0.0372251,333.612,499.814,0.470423,-0.260798,-0.164674,-0.0507526,0.369592,-72.6333,299.992,6.7398,4612.89,3639.02,0.927775,0.196554,0.750031,0.4066,0.826945,0.75867,396.207,8.62638,4709.11,0.087266,0.963297,0.00336311,4540.22,1424.37,318.106,33517.6,-16.6186,16.622,6960.83,4458.76,82.0344,64.3106,0.585036,9.37062,9.62474,90.4869,119.176,-8.45246,-54.8657 
23,20.01,0,23,3416.43,-0.0145442,9.59179,9.98554,90.7469,0.035324,14.8404,3.15127e-12,-0.520436,-1.20094,-1.86509,-0.775493,-1.20383,-34.1313,278.39,5.7235,4574.45,3135,-0.30552,-0.986023,-1.43526,-0.560577,-0.988914,0.664368,323.603,6.61002,4619.66,0.0737321,0.965488,0.00262884,4388.9,1407.16,312.426,33056.4,-30.343,30.3473,9502.08,4955.66,84.2977,77.4793,0.58298,9.53789,9.30101,90.5966,118.795,-6.29891,-41.3158 
24,10.01,0,24,3334.05,-0.120128,9.18066,10.0492,90.643,0.112732,-6.44591,494.114,-1.08439,-0.196087,-1.80168,-2.128,-0.585494,-29.2881,292.707,12.9749,4449.34,3026.98,-0.899975,-0.0116679,-1.43285,-1.94358,-0.401075,0.694433,331.504,13.7356,4488.14,0.077435,0.932392,0.00560602,4281.06,1334.5,316.421,31287.2,-31.0059,31.0105,7668.19,5338.44,89.8351,76.0273,0.567778,9.35576,9.43487,90.2597,118.977,-0.424515,-42.95 
25,70.01,0,25,3745.59,-0.0197831,10.5363,9.84494,90.6966,-0.0141665,0.555611,0.00159881,0.599112,0.293511,-0.265289,-0.0467787,-1.48789,-47.3102,243.858,19.4063,4895.17,3376.99,0.897011,0.591411,0.330511,0.251121,-1.18999,0.624447,306.528,20.6352,4957.84,0.0656458,0.894608,0.00760875,4669.43,1565.82,303.705,37341.6,-30.1068,30.111,8970.92,5086.24,83.0802,77.946,0.607704,9.57214,9.69249,90.5483,119.918,-7.46809,-41.9719 
26,100.01,0,26,4305.96,-0.0417776,11.6561,-9.90509,90.619,0.0329733,-77.1296,500,0.204313,0.805943,-0.281045,1.07804,-0.336016,-49.5793,281.045,12.5942,5407.16,3841.22,0.516501,1.11813,0.34333,1.39023,-0.0238281,0.897341,346.721,13.882,5472.84,0.0671573,0.934522,0.00465081,5162.82,1860.9,326.639,44920.7,-0.981386,0.982012,2902.93,1742.06,80.4207,79.1015,0.66552,9.63702,9.77651,90.4364,118.029,-10.0157,-38.9279 
27,30.01,0,27,3862.85,-0.236397,10.3817,10.6644,90.6337,-0.0599585,-86.9268,408.804,-0.32514,-1.68598,-0.120523,0.0960818,0.806288,-46.9608,282.63,8.2869,4960.59,3773.8,-0.0294405,-1.39028,0.470877,0.391782,1.10199,0.135892,344.838,9.50666,5022.8,0.0723704,0.953976,0.00347444,4764.9,1562.04,280.839,37279.1,-33.049,33.0534,8653.46,5431.9,85.1951,76.9945,0.602197,9.88338,9.50183,90.3558,118.267,-5.16068,-41.2729 
28,0.01,0,28,3849.42,-0.0825934,10.3213,10.5588,90.0229,0.431936,-109.093,0.0018735,-0.95357,-0.947148,0.0396189,0.46347,-0.962467,-46.3775,341.182,11.9509,4973.15,5081.63,-0.661543,-0.655121,0.623673,0.755496,-0.67044,2.02589,402.617,13.1555,5034.58,0.0833049,0.945912,0.00479041,4833.05,1561.37,310.489,37139.1,-2.69176,2.69374,3349.55,2084.2,81.4404,79.4414,0.595641,9.99637,9.63535,89.7369,117.354,-8.29653,-37.9128 
29,50.01,0,29,3454.25,-0.225613,9.81191,10.2545,90.511,-0.134757,203.284,152.494,0.742848,0.395973,-1.30005,-0.598897,0.612175,-40.0614,305.309,11.2241,4547.45,4167.16,0.995103,0.648229,-0.795543,-0.346641,0.864431,1.58257,358.378,12.2646,4600.52,0.0813231,0.943494,0.00488691,4406.84,1366.41,299.762,32162.1,-36.4919,36.4961,10110.1,5554.89,84.7122,77.3556,0.563406,9.66875,9.55196,90.2154,118.98,-5.50324,-41.6244 
30,80.01,0,30,3955.91,-0.246127,11.0548,10.2978,90.3951,0.427835,-203.274,417.346,0.626123,0.0834065,-3.89094,-0.26995,-1.05156,-107.511,284.279,11.8168,5134.33,6536.94,1.30309,0.760377,-2.537,0.40702,-0.37459,-4.75157,426.697,14.6093,5276.75,0.0841572,0.94347,0.00507422,5070.23,1765.31,349.979,42134.1,-31.6033,31.6074,10245.4,5080.1,79.5356,79.0583,0.64862,9.79488,9.38233,90.188,118.859,-10.6524,-39.8009 
