cyc,sweep,VVA,ODT1,ODT2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
165,46.05,0,0.05,1,165,6506.04,0.196357,10.9657,10.8569,95.3876,-0.553945,578.511,125.89,2.47108,-0.0517685,2.18634,-1.13685,-4.05777,-104.778,25.1884,2.63557,5493.66,14307.7,3.13084,0.607992,3.50586,-0.47709,-3.39801,-0.0404399,172.15,13.5216,5640.62,0.033519,0.879156,0.00439646,5135.9,1913.02,698.578,43241.6,0.00126236,0.00446829,20.5955,4.75904,111.256,63.6333,0.612985,10.3284,10.1389,95.1284,121.038,16.1272,-57.4049 
166,45.9,3,0.05,1,166,8603.09,0.0323264,13.3095,12.5834,95.7091,-0.0356454,-27.0907,500,-0.548383,3.27315,2.04892,0.592673,1.47443,-156.251,1170.22,29.62,6438.29,5483.44,0.435489,4.25702,4.01666,1.57654,2.4583,0.68482,1389.38,45.8539,6657.45,0.191693,0.945398,0.0125287,7247.93,2160.63,2459.73,47625.2,0.00149334,0.122377,11.7286,8.89353,96.1632,70.88,0.579088,11.7705,10.9739,95.3391,121.698,0.82411,-50.8176 
167,45.9,0,0.05,1,167,6719.36,0.190409,10.9435,11.142,95.4865,-0.606034,-171.965,500,4.62324,5.6877,-0.312342,-2.55873,0.640874,-134.163,47.1223,27.368,5583.97,7361.88,5.46803,6.53249,1.37724,-1.71394,1.48567,0.895263,235.299,41.3071,5772.15,0.0442725,0.764986,0.0130111,5314.79,2020.05,719.374,45684.8,0.00151774,0.0340926,62.9971,0.0275685,82.9274,60.6257,0.645969,10.4811,9.48054,95.1196,120.916,-12.1922,-60.2906 
168,46.05,3,0.05,1,168,6916.21,0.242097,10.5685,11.6172,95.6301,-0.208951,-33.2711,333.059,1.16699,6.04026,4.5675,3.1614,1.78087,-169.779,1086.47,34.671,4728.45,4223.08,2.23604,7.10931,6.7056,4.23046,2.84992,0.710107,1324.61,52.3104,4966.58,0.232583,0.935358,0.0190326,5695.2,1355.43,2357.03,26983.4,0.00150994,0.120798,11.5896,8.77504,96.2916,70.4786,0.44426,11.2231,10.9122,95.2467,120.817,1.04491,-50.3383 
169,46.05,0,0.05,1,169,6417.09,0.031092,10.8468,11.0438,96.0098,0.00614038,-99.122,500,0.357961,3.45441,-2.18658,0.344463,0.991822,-186.793,61.0981,37.3137,5447.87,3919.38,1.53415,4.6306,0.1658,1.52065,2.16801,0.983452,323.094,56.7208,5709.87,0.0604165,0.764981,0.0179703,5347.78,1870.74,696.918,42084.7,0.00140332,-0.0105154,-10.361,8.67655,70.0002,65.8343,0.608216,10.4256,9.90326,95.6582,120.225,-25.658,-54.3911 
170,45.9,3,0.05,1,170,8666.46,0.0115744,13.0049,12.7209,95.5753,-0.00540238,-5.25212,1.39937e-11,1.185,4.01182,8.01866,-0.909618,-3.52628,-157.191,1104.22,26.6768,6332.11,5386.36,2.17479,5.00161,9.99823,0.0801695,-2.53649,0.320694,1324.69,43.0083,6552.58,0.186814,0.946238,0.0119463,7090.97,2084.6,2359.21,45871.7,0.00167157,0.121955,11.1193,8.97077,95.6627,69.6887,0.561261,11.9824,11.0098,95.2708,119.86,0.391859,-50.1712 
171,45.9,0,0.05,1,171,6744.52,0.16977,11.5428,11.0241,95.9552,-1.17501,976.155,408.237,3.21351,0.291639,1.14786,4.37785,1.9085,-161.678,32.4515,5.43224,5803.58,41480.8,4.23155,1.30968,3.18395,5.39589,2.92654,0.813232,259.221,22.2299,6030.35,0.0465727,0.869509,0.00674483,5565.93,2126.23,677.831,48618.6,0.0011069,0.00929339,11.1096,5.22219,97.6185,68.2586,0.643118,10.7799,9.93408,95.6455,119.821,1.973,-51.5623 
172,46.05,3,0.05,1,172,7143.65,0.0397579,10.8466,12.2515,95.9786,0.00340781,-31.9312,499.994,0.466493,1.50299,-0.641317,1.43696,3.96653,-170.242,1193.5,30.628,4856.09,4329.48,1.53846,2.57496,1.50263,2.50893,5.0385,0.885849,1432.28,48.3155,5094.87,0.242112,0.944257,0.0171691,5915.76,1457.44,2717.49,28722.2,0.00153951,0.127549,11.5237,9.19314,96.2175,70.0533,0.460326,11.6107,10.4055,95.2813,120.027,0.93618,-49.9741 
173,46.05,0,0.05,1,173,6373.33,0.200861,10.731,10.7782,95.8014,-0.0996412,-32.4125,44.6734,1.72432,0.967172,4.47285,-0.347923,-0.373173,-118.492,-20.6819,3.35507,5498.25,3870.26,2.47044,1.71328,5.96507,0.398188,0.372938,0.453744,145.514,15.6659,5664.45,0.0283641,0.841465,0.0050688,5130.23,1907.25,755.193,42652.6,0.00703794,-0.00779455,10357.4,127.786,102.013,40.0106,0.606568,10.6047,9.89878,95.3641,120.399,6.64852,-80.3886 
174,45.9,3,0.05,1,174,7702.55,0.0597992,11.8665,12.3884,95.7168,0.0833684,-60.9751,500,0.687299,4.40523,2.63846,1.87284,1.023,-166.578,940.144,43.8243,5764.53,4951.04,1.7362,5.45413,4.73626,2.92174,2.0719,0.720083,1173.79,61.1311,5998.17,0.181921,0.916472,0.0184281,6452.17,1794.66,1896.1,38960.1,0.00149106,0.101449,11.1721,9.01418,95.9058,70.2387,0.531838,11.5859,10.7662,95.3712,120.466,0.534626,-50.2273 
