cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
40,-4.019,43.2037,40,10415.3,-0.0244994,30.3954,8.82523,123.582,0.0107422,-27.2881,500,-7.03881,-2.32758,-6.92739,-8.53689,-3.59838,-609.904,6657.53,35.6788,6222.34,8741.84,-3.19841,1.51283,0.753418,-4.69649,0.242028,1.13987,7143.34,79.8435,6708.15,0.564958,0.980815,0.0214552,12644 
41,-4.016,43.2067,41,10631.9,-0.0185581,30.5704,8.8768,123.838,-0.0030835,-4.64825,500,-4.54141,-4.42367,-8.86524,-3.27021,-5.50339,-532.13,6823.91,34.1588,6169.62,8834.37,-1.19073,-1.07299,-2.16387,0.0804731,-2.15271,0.667088,7247.77,72.6917,6593.49,0.572746,0.982751,0.0199045,12654.4 
42,-4.031,43.1917,42,10522,-0.100091,31.233,8.74912,123.699,0.058177,-43.9943,5.51918e-10,-3.99769,-0.769593,-13.8996,-7.91893,-8.03269,-609.369,6658.75,27.4515,6404.4,8978.89,-0.160649,3.06744,-6.22551,-4.08189,-4.19565,0.463145,7144.13,71.5774,6889.79,0.558408,0.982769,0.0187781,12793.8 
43,-4.028,43.1947,43,10670.8,-0.459683,31.6749,8.96341,124.034,0.200948,593.573,29.4019,-2.70253,-2.19125,-5.71698,-6.71957,-2.846,-601.15,6955.85,37.3993,6254.51,13125.3,1.08276,1.59403,1.85358,-2.93428,0.939282,0.268909,7434.68,80.9301,6733.35,0.57384,0.981307,0.0216612,12956 
44,-4.01,43.2127,44,10362.7,-0.0783778,30.3821,8.92982,123.652,0.153923,63.6593,500,-3.11854,-1.77293,-8.40739,-6.16292,-5.24528,-629.018,6540.1,45.5024,6432.67,9150.9,0.842216,2.18782,-0.48587,-2.20216,-1.28452,0.484492,7041.13,91.0511,6933.7,0.553254,0.977871,0.0236186,12726.8 
45,-3.968,43.2547,45,10845.7,-0.00637452,31.1676,8.86153,123.672,-0.00509629,8.90185,1.17874e-12,-4.67805,-1.77838,-7.29056,-7.44666,-7.06811,-569.341,6824.92,24.377,6347.07,8992.45,-1.09306,1.80661,-0.120579,-3.86167,-3.48312,0.982141,7278.42,65.6043,6800.57,0.566199,0.984471,0.0174603,12854.9 
46,-4.025,43.1977,46,10330.8,-0.176195,30.5066,8.94632,123.692,-0.01734,-34.4314,4.82122e-13,-3.40342,-5.41878,-8.60227,-5.30534,-6.82706,-596.198,6653.96,32.7426,6199.3,8903.93,0.350677,-1.66468,-1.09408,-1.55124,-3.07296,0.844421,7128.85,75.9147,6674.19,0.565706,0.981705,0.0205228,12601.7 
47,-3.962,43.2607,47,10265.4,-0.228668,30.8286,8.76981,123.785,0.0717995,354.721,2.3011e-08,-3.90781,-2.81171,-8.53302,-4.71809,-5.53132,-632.091,6683.85,49.1839,6124.67,9630.22,0.0722991,1.1684,-0.572802,-0.737985,-1.55121,0.646702,7187.33,94.9551,6628.16,0.56941,0.977402,0.0257115,12622.4 
48,-3.971,43.2517,48,9936.67,-0.432832,30.247,8.75867,123.881,0.516293,-113.377,486.148,-4.43007,-3.34772,-4.63002,-4.99099,-10.6227,-594.178,6239,26.7295,6158.82,10529.7,-0.688686,0.393659,2.85273,-1.24961,-6.88128,1.51187,6712.29,69.7554,6632.1,0.552424,0.982138,0.0190067,12150.6 
49,-3.98,43.2427,49,9648.17,-0.0319278,28.9535,8.64393,123.563,0.0412678,-66.9663,500,-2.89005,-4.05797,-14.1839,-8.57906,-8.99091,-566.522,6254.74,31.1721,5810.62,8237.14,0.677186,-0.490733,-7.04945,-5.01183,-5.42368,0.592482,6706,72.1953,6261.88,0.56635,0.981508,0.0207966,11840.7 
50,-3.965,43.2577,50,9832.08,-0.18733,30.6592,8.73378,123.933,0.0393187,-61.3729,483.161,-6.52127,-6.61406,-9.73312,-6.15419,-5.09226,-634.805,6416.58,23.0731,6033.09,8795.37,-2.52408,-2.61686,-1.73873,-2.15699,-1.09506,0.828387,6922.22,69.0408,6538.73,0.563516,0.982845,0.0190792,12284 
51,-3.983,43.2397,51,9390.39,-0.0299459,28.4664,8.66307,123.743,-0.00248563,18.8985,500,-4.10088,-3.64376,-6.43016,-6.22105,-6.05418,-699.489,6247.81,16.2416,5595.69,8029.38,0.303614,0.760731,2.37883,-1.81655,-1.64968,104.184,6804.98,66.8933,6152.85,0.574244,0.983088,0.019634,11850.3 
52,-4.004,43.2187,52,9948.87,-0.0482488,29.5267,8.82454,123.604,0.0188692,-39.2594,500,-5.45969,-1.96463,-7.15161,-6.29033,-7.96943,-624.724,6356.54,41.4146,6111.21,8506.19,-1.52597,1.96909,0.715825,-2.35662,-4.03571,1.13678,6854.15,86.6524,6608.83,0.558456,0.978355,0.0235834,12273.4 
53,-3.956,43.2667,53,10225.9,-0.208827,30.6025,8.8314,123.69,0.103381,-71.6351,1.91388e-10,-4.8024,-1.65807,-11.1498,-6.51102,-4.85566,-575.668,6455.15,40.1517,6280.4,9039.03,-1.17757,1.96676,-3.90018,-2.88619,-1.23083,0.460407,6913.69,81.8372,6738.94,0.55578,0.979706,0.0218809,12439.6 
54,-4.022,43.2007,54,9743.72,-0.153456,30.2085,8.63929,123.817,-0.053401,66.3007,0.0012251,-3.34564,-4.75401,-8.43521,-6.19077,-4.20148,-666.674,6498.23,27.4353,6047.12,8611.03,0.852227,-0.556143,-0.0394751,-1.9929,-0.00360885,0.977312,7029.26,75.7107,6578.15,0.565811,0.9815,0.0207614,12423.3 
55,-3.953,43.2697,55,10574.2,-0.0669971,31.3158,8.7165,123.726,0.0400297,52.7173,0.00115448,0.0438049,-3.00969,-4.63176,-6.00121,-7.0255,-651.724,7002.66,31.6692,6075.32,8954.59,4.14754,1.09404,3.5757,-1.89748,-2.92177,0.105634,7521.78,78.8621,6594.44,0.581766,0.981983,0.0215547,12929.2 
56,-4.034,43.1887,56,10302.7,-0.313476,31.2604,8.78074,123.757,-38.8767,26798.7,0.000669586,0.491103,-5.02145,-6.10492,-5.24317,-6.95476,-599.921,6790.39,31.8505,6042.48,3.39244e+07,4.26864,-1.24391,1.45017,-1.46563,-3.17722,9.63468,7268.24,75.2923,6520.34,0.576163,0.982194,0.0208283,12614.9 
57,-3.989,43.2337,57,7329.03,-0.0272959,24.6767,8.35072,123.51,0.00428009,17.8572,500,-5.3137,-0.36011,-2.91926,-6.74583,-3.77305,-783.15,4914.44,32.1579,5104.87,6710.68,-0.382417,4.57118,6.94331,-1.81455,1.15824,0.337202,5538.24,88.8676,5728.67,0.541068,0.972686,0.0277823,10235.8 
