cyc,state,freq,microfreq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,97,43.218,43.218,4,48.55,-0.2,0.19,0.01,22,8969.39,0.244185,17.107,9.77011,96.8155,-0.335413,-162.083,43.3803,-2.22196,-1.08161,-4.60296,-3.50926,-0.207908,-189.343,3144.49,65.8641,4788.62,7210.63,-1.02972,0.110637,-2.21847,-2.31702,0.984335,0.503724,3410.06,85.5361,5054.2,0.448395,0.95795,0.0302329,7605.04,0.00149015,0.5436,9.24171,7.51613,97.0605,71.5053,0.624376,9.51903,9.1415,96.3191,121.683,0.741471,-50.178 
23,97,43.23,43.23,4,48.55,-0.2,0.19,0.01,23,9287.82,0.258497,17.754,9.71229,96.7883,-0.0465254,-217.807,71.4068,1.21425,-0.542741,-2.64211,-1.31466,0.0879859,-195.775,3101.96,49.5016,5137.38,5943.1,2.447,0.690004,-0.176618,-0.0819153,1.32073,1.04206,3376.56,69.8419,5411.97,0.429124,0.965067,0.0232205,7868.49,0.00151774,0.528578,9.1162,7.77335,97.0596,71.6159,0.656048,9.63258,9.2108,96.255,121.868,0.804645,-50.2519 
24,75,47.3227,47.3227,2.25,46.05,0.2,-0.19,-0.01,24,5131.48,0.227752,8.10761,10.5624,96.7463,-0.124016,-81.6518,476.995,1.75088,-3.70952,-1.23058,-0.800972,0.61531,-163.196,361.304,36.5671,3845.43,3117.37,2.77848,-2.68192,0.82463,0.226633,1.64291,0.704512,590.203,53.5226,4074.33,0.148595,0.863037,0.0236272,3971.89,0.00132739,0.0483562,10.4441,7.81975,96.5961,70.6952,0.437736,10.1946,9.64829,96.4417,121.383,0.154353,-50.6873 
25,97,43.248,43.248,4,48.55,-0.2,0.19,0.01,25,9186.6,0.247813,17.8633,9.59755,96.8122,-0.187213,-45.8291,1.45839,0.585659,-0.0644054,3.85988,-1.72892,-1.35707,-150.822,3138.45,47.9028,5038.38,5860.37,1.53535,0.885284,5.75926,-0.779226,-0.40738,0.176458,3349.99,63.5727,5249.93,0.434645,0.967858,0.0218198,7707.43,0.00142473,0.548835,9.27578,7.51743,96.9641,71.346,0.650114,9.53071,9.24233,96.333,121.708,0.631086,-50.3623 
26,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,26,11067.4,0.101348,21.0237,9.85971,96.8474,-0.213564,92.4971,476.559,-0.544139,-0.977735,-1.79151,-2.40871,-3.61881,-224.729,3934.55,53.8551,5887.03,7390.96,0.870922,0.437326,1.03861,-0.99365,-2.20375,2.22112,4249.76,77.2036,6202.23,0.452217,0.969188,0.022416,9397.61,0.00189919,0.654196,9.35478,7.68154,96.9778,71.8603,0.733589,9.7738,9.19097,96.4144,122.245,0.563354,-50.3847 
27,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,27,4891.01,0.112735,7.53849,10.6121,96.1472,0.0393671,-184.3,7.80146e-07,2.38629,1.87523,-0.714089,-0.8409,0.739099,-153.613,26.6795,26.5052,3796.86,2840.43,3.35356,2.84249,1.22044,0.126362,1.70636,0.86805,242.137,42.465,4012.32,0.0677807,0.765165,0.0191234,3572.36,0.0049108,-0.00613026,6425.65,75.2958,120.924,40,0.444562,9.92891,9.37667,96.0395,121.499,24.8842,-81.4995 
28,97,43.218,43.218,4,48.55,-0.2,0.19,0.01,28,9969.55,0.312652,18.9118,9.57592,96.6721,-0.12892,-319.892,497.044,1.37251,-0.412095,0.557801,-3.00594,0.584877,-230.561,3480.91,48.3319,5231.76,7237.85,2.82429,1.03969,3.46136,-1.55416,2.03666,0.556681,3804.29,72.2863,5555.14,0.452081,0.967818,0.0234093,8415.06,0.0017903,0.60529,9.15339,7.52229,96.7668,71.5003,0.673469,9.62245,9.11678,96.1484,121.847,0.618393,-50.347 
29,97,43.23,43.23,4,48.55,-0.2,0.19,0.01,29,9311.66,0.282577,17.6136,9.66404,96.4184,-1.79375,151.892,401.2,4.17492,2.13094,-1.53919,-1.88669,-0.559311,-213.322,3165.5,60.6168,4987.61,14410.5,5.51816,3.47417,1.14728,-0.543453,0.783924,0.889473,3464.71,82.7802,5286.82,0.441209,0.959866,0.0280348,7852.77,0.00162154,0.557384,9.14761,7.49348,96.6308,71.6856,0.653357,9.65257,8.96,95.8764,122.17,0.754441,-50.4841 
30,75,47.3227,47.3227,2.25,46.05,0.2,-0.19,-0.01,30,4844.3,0.221296,7.81525,10.253,96.4744,-0.610297,313.715,46.9799,1.35469,-0.701183,1.8658,0.419952,1.37866,-154.259,363.334,13.8858,3596.98,8841.12,2.32601,0.270144,3.80845,1.39128,2.34999,0.624631,579.697,29.9127,3813.34,0.154802,0.917178,0.0142441,3744.77,0.00126713,0.0456442,10.4301,7.78537,96.865,71.129,0.424735,9.94134,9.59168,96.4351,121.644,0.429938,-50.5149 
31,97,43.248,43.248,4,48.55,-0.2,0.19,0.01,31,9119.97,0.271638,17.5201,9.54874,96.8069,0.339076,-348.196,89.9782,0.560152,-3.24451,-0.197571,-0.484266,0.147261,-197.453,3072.67,65.5877,4976.49,9289.42,1.80346,-2.0012,2.28904,0.759042,1.39057,0.460247,3349.62,86.1023,5253.44,0.434453,0.956953,0.0293067,7709.97,0.00160142,0.556968,8.90312,7.32275,97.0062,71.8841,0.667359,9.50072,8.87865,96.3346,122.082,0.67164,-50.1974 
32,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,32,9957.86,0.241552,19.2935,-9.79125,96.5131,0.0107843,-118.148,485.416,-0.714335,1.56618,2.08072,-0.291599,0.446595,-228.382,3644.49,46.7416,5377.84,6191.03,0.723725,3.00424,4.95684,1.14646,1.88466,0.576914,3964.82,70.4696,5698.16,0.456025,0.969834,0.022274,8694.29,0.00137465,0.604402,9.49091,7.6063,96.7036,71.4943,0.675159,9.79689,9.36663,95.9674,121.902,0.736171,-50.4074 
33,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,33,4761.15,0.0664885,7.51777,10.2552,96.6431,-0.178183,78.0944,500,-1.88249,-1.34563,-0.164336,0.689341,-0.335889,-148.873,88.472,22.7174,3660.59,2962.73,-0.945072,-0.40822,1.71049,1.62676,0.601526,0.338424,297.281,38.1847,3869.4,0.0847224,0.816472,0.017854,3508.89,0.00149447,0.0498468,1.13581,1.70288,84.4544,65.4553,0.448316,9.53758,9.4417,96.4769,120.575,-12.0225,-55.1194 
