cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,97,43.248,4.2,48.55,-0.2,0.19,0.01,21,11750.5,0.252523,22.5337,10.0561,96.027,-0.0723341,-71.7978,166.138,-0.622079,-0.132614,-1.66776,-3.89242,1.80748,-187.484,4830.92,15.6795,6065.17,7545.7,0.558457,1.04792,0.693308,-2.71188,2.98801,0.73084,5093.89,35.1584,6328.14,0.477732,0.988066,0.0101308,10662.7,0.00167202,0.737228,9.54488,7.94123,96.3141,73.7468,0.709784,9.92006,9.67432,95.3746,124.451,0.939505,-50.704 
22,97,43.248,0,48.55,-0.2,0.19,0.01,22,13509.9,0.251943,25.7278,10.2957,96.0813,0.190439,-121.043,367.376,-0.208165,1.93047,-1.19334,-0.835896,0.943814,-177.988,5554.95,33.927,6952.27,9373.27,0.912582,3.05122,1.04815,0.28485,2.06456,0.857615,5804.6,52.4193,7201.92,0.478048,0.984442,0.0132304,12142.3,0.00169972,0.828828,9.75947,8.0907,96.2983,74.1863,0.797552,10.1701,9.83626,95.3989,125.064,0.899377,-50.8779 
23,75,46.2227,0,46.05,0.2,-0.19,-0.01,23,6484.12,0.259414,10.4543,10.6582,96.1513,-0.619644,137.241,449.796,-0.0349412,3.35566,1.98493,1.10046,2.94607,-144.168,94.3453,39.8441,5341.22,6395.57,0.872844,4.26344,3.8005,2.00824,3.85386,0.74319,296.554,54.8226,5543.43,0.0573077,0.755564,0.0178918,5174.77,0.00162794,0.014887,5.38389,7.82325,122.032,60.053,0.619219,10.0067,9.5797,95.7637,123.636,26.2683,-63.5833 
24,75,47.3227,2.2,46.05,0.2,-0.19,-0.01,24,7346.55,0.082223,11.6957,11.2987,95.8969,-0.178198,-37.3378,2.70126e-08,-1.37733,-1.27229,-3.14594,-1.96594,2.49634,-153.22,481.943,18.3381,5651.71,4518.39,-0.41254,-0.3075,-1.21637,-1.00115,3.46112,3.32323,696.85,34.2571,5866.62,0.118927,0.920785,0.0106422,5859.48,0.0018287,0.0617303,9.52872,8.60927,96.1981,73.2005,0.589563,10.4469,10.2432,95.5598,124.071,0.638329,-50.8709 
25,97,43.248,4.2,48.55,-0.2,0.19,0.01,25,10670.9,0.224055,20.554,10.0409,96.0305,-0.147907,48.1235,107.696,-1.06406,2.51401,5.48494,0.392771,2.5627,-173.895,4125.63,53.8116,5681.05,6950.08,0.0309097,3.60898,7.67489,1.48774,3.65767,0.53373,4369.54,71.8787,5924.95,0.455944,0.972018,0.021859,9583.5,0.00143647,0.661631,9.52423,7.79089,96.1485,73.1355,0.690919,9.96245,9.36941,95.4252,123.641,0.723298,-50.5053 
26,97,43.248,0,48.55,-0.2,0.19,0.01,26,13623.9,0.252641,25.2216,10.5973,96.4989,0.337298,195.46,267.565,-1.76996,2.4275,4.23975,-0.281767,0.360179,-157.284,5737,30.9953,6779.4,10847.1,-0.779591,3.41787,6.22049,0.708606,1.35055,0.43025,5957.61,47.3364,7000.01,0.491649,0.986286,0.0123037,12117.6,0.00172242,0.814332,10.1014,8.20397,96.7941,73.6874,0.756107,10.5495,9.88758,95.7857,124.277,1.00842,-50.5895 
27,75,46.2227,0,46.05,0.2,-0.19,-0.01,27,6695.91,0.13347,11.4618,10.7892,95.7791,-0.17237,64.97,500,-0.936841,-0.74739,2.55461,1.48597,0.736199,-107.701,63.7476,25.3515,5691.23,4390.21,-0.258674,-0.0692233,3.91094,2.16413,1.41437,0.453897,214.809,36.5412,5842.29,0.0401061,0.770598,0.0113904,5356.03,0.00158659,-0.0103157,8.38042,24.407,114.496,92.9998,0.632767,10.2774,10.0238,95.5898,123.813,18.9059,-30.8136 
28,75,47.3227,2.2,46.05,0.2,-0.19,-0.01,28,6752.49,0.254279,11.0101,10.7028,96.1984,-0.757045,445.355,394.06,-0.192212,-1.7329,1.7783,1.16171,1.59067,-130.516,388.418,14.9733,5345.98,14811.5,0.629611,-0.911082,3.42195,1.98353,2.4125,0.54595,571.479,28.5334,5529.04,0.105109,0.919645,0.00941692,5437.03,0.00155664,0.0472139,10.4804,8.3073,95.7556,74.7279,0.564798,10.3152,10.3017,95.8592,125.502,-0.103616,-50.7744 
29,97,43.248,4.2,48.55,-0.2,0.19,0.01,29,12092.1,0.276258,22.5466,10.2601,96.2407,-0.0846595,-40.0906,468.203,-2.37584,-0.0558257,5.06869,-0.576551,1.87671,-210.268,4667.78,66.1747,6320.63,7641.05,-1.05184,1.26817,7.71668,0.747448,3.20071,0.350512,4962.7,88.0207,6615.55,0.460175,0.969896,0.0239231,10784.4,0.00168127,0.708864,9.75869,8.0939,96.3918,72.4096,0.716935,10.1989,9.85836,95.5427,122.998,0.84918,-50.5886 
30,97,43.248,0,48.55,-0.2,0.19,0.01,30,11822.6,0.273204,22.4355,10.0654,96.4002,-0.204125,-215.676,348.512,2.18862,0.877889,3.26977,0.0173376,0.761861,-205.45,4836.22,28.6803,6039.54,8784.43,3.48229,2.17155,5.8571,1.311,2.05553,0.606311,5124.39,50.0258,6327.71,0.479238,0.983203,0.0143543,10692.8,0.00176971,0.772203,9.40647,7.75025,96.5856,72.9999,0.705465,9.99926,9.55718,95.7079,123.364,0.877619,-50.3638 
