cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
21,97,43.248,4,48.55,-0.2,0.19,0.01,21,9155.56,-0.0495022,20.7857,9.83783,98.8987,-0.0186881,94.2423,2.48263,-0.640159,0.195312,-2.49147,0.608814,-2.34193,-82.2678,3770.11,33.5592,5407.99,6714.03,-0.12214,0.713331,-1.45544,1.12683,-1.82391,0.0678187,3885.5,42.1065,5523.38,0.458742,0.981389,0.0138485,8469.91,9.67187e-05,0.637567,9.21871,8.03078,99.0077,68.8268,0.69202,9.70417,9.50688,98.2801,118.354,0.727634,-49.5267 
22,97,43.248,0,48.55,-0.2,0.19,0.01,22,9990.19,-0.00028686,23.2652,9.32873,98.8696,-0.00615969,2.76923,292.353,1.85037,1.06724,3.19818,1.65408,0.566886,-123.279,4286.83,52.7375,5627.56,7065.75,2.62662,1.84349,4.75069,2.43033,1.34314,0.634401,4459.74,65.5457,5800.47,0.48088,0.974925,0.0203915,9274.13,0.000298396,0.726215,8.94968,8.1329,98.9587,69.1813,0.767921,9.17684,9.36575,98.2358,118.842,0.722924,-49.6609 
23,75,46.2227,0,46.05,0.2,-0.19,-0.01,23,3844.11,-0.054416,9.31471,9.62679,98.3208,0.0932692,23.5935,401.181,1.0955,2.2203,-1.26479,-1.05038,-2.26182,-61.0602,-157.543,6.38254,4103.9,2990.72,1.47998,2.60478,-0.49583,-0.665898,-1.87734,1.47417,-71.9,12.7265,4189.54,-0.0211134,1.44876,0.00556457,3405.42,9.50879e-05,-0.0127081,6.18297,21.0611,80.0669,64.8952,0.541155,9.2755,9.48843,97.9546,117.607,-17.8877,-52.7114 
24,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,24,3834.94,-0.0621595,8.95046,10.0991,98.4659,0.0410926,-114.28,58.5474,1.2557,1.5822,-0.597901,1.12409,-2.23149,-55.7329,367.182,19.6386,3661.27,3095.42,1.60663,1.93314,0.10397,1.47502,-1.88055,0.967893,445.353,25.4291,3739.44,0.125484,0.909155,0.0123718,3549.09,-5.11388e-05,0.0700777,8.92962,8.01274,98.3506,67.4549,0.455825,9.75309,9.58118,98.0538,117.856,0.296824,-50.4008 
25,97,43.248,4,48.55,-0.2,0.19,0.01,25,8691.66,0.0144553,20.836,-9.10769,98.9091,-0.030198,30.1089,7.19463e-12,-0.339662,-1.75068,2.56368,-0.294817,-1.86927,-122.229,3626.94,37.5003,5116.44,6207.18,0.42998,-0.98104,4.10297,0.474825,-1.09963,-0.401715,3798.38,50.1994,5287.88,0.463934,0.977395,0.0171871,8187.32,0.000105924,0.659904,8.66081,7.89347,99.0458,68.8771,0.714806,9.18094,9.16343,98.2583,118.594,0.787476,-49.7171 
26,97,43.248,0,48.55,-0.2,0.19,0.01,26,9809.76,-0.0377057,22.1673,9.80536,98.5843,0.0894639,1.19001,65.9077,0.968637,-0.297274,3.16287,0.399888,-1.32762,-87.6378,4401.24,-11.8637,5515.43,7079.21,1.52047,0.254558,4.26654,0.95172,-0.775791,0.313785,4524.16,-2.75847,5638.35,0.491543,1.00107,-0.000902034,9203.99,0.000136775,0.734203,9.1383,8.00539,98.7117,68.022,0.711493,9.84437,9.2618,97.8596,117.222,0.85205,-49.1996 
28,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,28,4023.72,-0.0442023,9.30399,9.93271,98.504,-0.0282622,50.1439,104.753,2.21573,1.08931,-1.60018,-2.69996,0.647393,-25.483,341.93,12.6055,3792.85,3054.51,2.37619,1.24977,-1.27926,-2.5395,0.807852,3.0799,377.673,15.2531,3828.59,0.106225,0.933988,0.00728549,3555.4,-3.52514e-05,0.0698824,9.05015,8.79375,98.8994,69.1201,0.446397,9.71532,10.185,98.069,119,0.830342,-49.8803 
29,97,43.248,4,48.55,-0.2,0.19,0.01,29,8578.43,-0.013684,19.5409,9.75888,98.3274,-0.0073306,8.55219,500,-0.991706,-1.71483,3.5339,1.35274,-1.69851,-87.0477,3609.94,21.0249,5005.86,6209.87,-0.44359,-1.16671,4.63014,1.90086,-1.1504,-0.228058,3732.03,30.0689,5127.95,0.467191,0.986096,0.0106862,7988.23,3.01785e-05,0.612167,9.3155,7.85531,98.3799,68.2885,0.677601,9.71551,9.10981,97.7193,117.803,0.660603,-49.5147 
30,97,43.248,0,48.55,-0.2,0.19,0.01,30,10250.3,-0.023512,22.9669,9.8105,98.5634,0.0113262,-1.48047,210.194,0.232835,2.89613,4.8406,-2.16541,-3.0717,-119.617,4634.59,7.03923,5622.12,7335.37,0.986032,3.64932,6.34699,-1.41221,-2.3185,0.12475,4802.37,19.467,5789.9,0.499831,0.992956,0.00615546,9607.98,0.000212504,0.745915,9.39121,8.03917,98.6792,68.2936,0.727736,9.72348,9.43456,97.9787,117.72,0.700484,-49.4262 
31,75,46.2227,0,46.05,0.2,-0.19,-0.01,31,3794.47,-0.0193433,9.47998,9.06947,98.6998,0.0145611,9.10654,0.000951878,0.128205,-1.5425,-0.51928,-2.42852,-2.76786,-34.134,-148.239,4.05801,4027.37,2803.2,0.343138,-1.32756,-0.0894141,-2.21359,-2.55292,0.98469,-100.363,7.60441,4075.24,-0.0305791,1.15286,0.0034256,3282.09,0.000254393,-0.00389531,26.2179,28.7742,96.4298,72.6094,0.5682,8.68037,9.40595,98.3685,117.515,-1.93872,-44.9056 
32,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,32,3900.28,-0.0396492,9.10692,9.79655,98.5363,0.0541401,-59.9762,476.163,-0.0980643,2.66594,-2.25862,-3.39241,0.263043,-82.3346,357.523,4.42507,3785.34,3009.99,0.420375,3.18438,-1.22175,-2.87397,0.781482,5.20529,473.006,12.9793,3900.82,0.127471,0.95418,0.00609195,3710.69,-8.06891e-05,0.0605534,9.77941,8.56467,99.196,68.1206,0.453602,9.49923,10.1399,98.2726,118.032,0.923371,-49.9114 
33,97,43.248,4,48.55,-0.2,0.19,0.01,33,8727.49,-0.0059477,19.7457,9.84074,98.5234,-0.0699327,13.6174,500,0.824711,1.8299,5.89288,-1.87807,-2.84562,-69.4889,3700.66,24.9349,5107.66,6356.52,1.26226,2.26745,6.76799,-1.44052,-2.40807,-0.0494442,3798.12,32.1546,5205.12,0.467843,0.985401,0.0112515,8118.38,-5.52986e-06,0.593602,9.38993,8.18755,98.7409,69.4159,0.652915,9.82289,9.57128,97.8917,119.082,0.849209,-49.6665 
34,97,43.248,0,48.55,-0.2,0.19,0.01,34,9647.46,0.021568,22.0046,-9.68754,98.3832,-0.0236289,-1.43809,1.18458e-11,1.52151,2.96756,3.43815,1.181,-1.27489,-66.0285,4289.8,28.8036,5483.34,6940.5,1.93728,3.38333,4.26967,1.59677,-0.859124,0.586589,4382.41,35.6637,5575.95,0.48637,0.985959,0.0116449,9010.45,-7.29661e-07,0.698282,9.37367,8.13459,98.4683,68.8792,0.711564,9.64073,9.47435,97.7316,118.385,0.736723,-49.5059 
35,75,46.2227,0,46.05,0.2,-0.19,-0.01,35,3840.09,-0.0157213,9.45036,9.01503,98.4579,0.0373446,-9.03297,468.751,0.257691,0.610876,2.19717,-0.866627,-0.63347,-45.5295,-102.365,-9.3877,4023.54,2784.37,0.544379,0.897563,2.77055,-0.57994,-0.346782,0.156803,-38.5057,-4.65736,4087.4,-0.0114804,0.825309,-0.00210339,3354.04,-3.11194e-05,0.00703486,-9.29828,9.33292,117.771,52.0024,0.545424,8.76844,9.79031,98.3391,119.34,19.4319,-67.3379 
36,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,36,3662.7,-0.0507163,8.53845,9.99135,98.8673,0.0584721,25.772,455.465,1.12042,3.35455,-1.08487,0.174982,-3.47414,-46.1521,281.894,-6.95385,3566.03,2826.2,1.41103,3.64515,-0.503651,0.46559,-3.18353,1.27453,346.627,-2.15882,3630.76,0.103158,1.01102,-0.0010965,3360.16,-0.000102553,0.057476,9.42154,7.86808,99.2562,68.1344,0.435462,9.67541,9.93357,98.3981,118.626,0.858079,-50.4921 
37,97,43.248,4,48.55,-0.2,0.19,0.01,37,8670.91,-0.0270906,20.102,9.52229,98.4391,0.0210628,9.19817,479.09,2.93793,0.0133686,2.81279,-0.233272,-1.58452,-84.4542,3540.72,40.6533,5142.58,6237.57,3.46972,0.545154,3.87637,0.298513,-1.05273,0.456865,3659.18,49.4277,5261.04,0.455925,0.976907,0.0170122,8025.84,0.000153854,0.615744,9.04874,7.90283,98.435,67.7535,0.698955,9.46283,9.13041,97.9626,116.986,0.472402,-49.232 
38,97,43.248,0,48.55,-0.2,0.19,0.01,38,9922.82,0.0108198,23.1483,9.25709,98.9789,-0.0281005,-0.108259,500,2.23147,4.34702,5.45538,-0.171859,-0.500892,-129.466,4283.33,44.8133,5532.23,6975.82,3.04669,5.16223,7.08581,0.643356,0.314324,0.564015,4464.92,58.2644,5713.82,0.484928,0.977673,0.0184378,9207.39,0.000398982,0.751124,8.77536,7.98965,98.9714,68.9631,0.755434,9.12892,9.30473,98.412,118.356,0.559389,-49.3925 
39,75,46.2227,0,46.05,0.2,-0.19,-0.01,39,3787.9,-0.000333688,9.28331,9.34156,98.8144,-0.00544373,12.7935,2.14938e-11,-0.557649,-5.59355,1.07967,4.64594,-5.52253,-49.3783,-121.543,0.91435,4095.72,2825.31,-0.246727,-5.28263,1.70152,4.95686,-5.21161,1.41678,-52.2851,6.04456,4164.98,-0.015357,1.25363,0.00266629,3404.65,-0.000196631,0.00656616,10.0058,12.1787,117.658,48.9227,0.554109,9.11014,9.50345,98.46,118.334,19.198,-69.4114 
40,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,40,3966.84,-0.0252726,9.12419,9.98357,98.6772,0.018042,-2.99988,500,3.47363,0.180153,-2.01615,2.3534,-0.211593,-48.8524,329.764,14.8506,3731.3,2967.11,3.78124,0.487763,-1.40093,2.66101,0.0960177,1.24905,398.284,19.9261,3799.82,0.112125,0.919496,0.00956753,3552.13,3.03005e-05,0.0610931,9.00928,9.07877,99.2934,68.6815,0.458827,9.44348,9.98269,98.3574,118.816,0.936058,-50.1346 
41,97,43.248,4,48.55,-0.2,0.19,0.01,41,8704.34,8.42021e-05,20.3684,9.46016,98.7255,-0.0068521,1.8051,5.76744e-11,-0.217663,-2.733,0.00727932,0.627367,-2.60258,-82.7599,3755.26,36.3729,5069.07,6273.03,0.303454,-2.21188,1.04951,1.14848,-2.08147,1.5857,3871.34,44.9714,5185.15,0.473558,0.980076,0.0157255,8175.02,2.42272e-05,0.635816,8.99908,8.07925,98.7854,68.812,0.683646,9.42523,9.33569,98.135,118.257,0.650435,-49.4447 
42,97,43.248,0,48.55,-0.2,0.19,0.01,42,9085.68,-0.00320745,20.8109,9.53886,98.5435,0.00209869,1.45007,1.09984e-10,0.355378,3.29297,-1.29167,0.100375,2.72342,-71.7046,3763.28,50.9463,5269.58,6462.32,0.806883,3.74447,-0.388658,0.551879,3.17493,1.04926,3863.86,58.3961,5370.15,0.464345,0.974233,0.019638,8321.08,0.000223952,0.667534,9.04539,7.79062,98.6119,68.4746,0.732046,9.38013,8.97455,97.8908,117.846,0.721104,-49.3716 
43,75,46.2227,0,46.05,0.2,-0.19,-0.01,43,3654.09,-0.000991091,8.95831,9.38789,98.8981,0.000857737,4.83865,2.08546e-10,-2.14605,0.869863,3.2009,-0.409509,-0.177395,-37.955,-121.47,1.87732,3935.21,2737.86,-1.90706,1.10886,3.67888,-0.170516,0.0615971,-0.327275,-68.2343,5.82069,3988.44,-0.0210459,1.17548,0.00268114,3242.17,-4.87979e-05,-0.0124818,9.13843,-11.9197,75.7176,66.0967,0.532001,9.23199,9.51345,98.6378,119.072,-22.9202,-52.9756 
44,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,44,4205.47,-0.0146025,9.13369,10.4238,98.5858,-0.0124872,4.78238,500,-0.00327048,0.0883098,1.76146,-1.99419,-0.0843483,-81.6215,403.268,2.48548,3862.11,3101.26,0.510679,0.602259,2.78935,-1.48024,0.429601,0.0218462,517.75,10.9656,3976.59,0.135596,0.964261,0.00505402,3818.32,6.23953e-05,0.0637547,9.58943,8.915,97.589,67.6599,0.450085,10.006,10.0679,98.2676,117.631,-0.678663,-49.9711 
45,97,43.248,4,48.55,-0.2,0.19,0.01,45,8415.63,0.00294973,19.5786,9.44233,98.371,-0.0163527,-2.59306,500,0.281824,-0.27471,4.20345,-0.171303,-1.89198,-121.136,3583.04,46.473,4899.26,6019.43,1.04459,0.488051,5.72897,0.591459,-1.12922,0.147962,3752.95,59.0585,5069.16,0.471455,0.973199,0.0210106,7960.35,0.000119614,0.619524,9.03575,7.86576,98.449,68.4393,0.673115,9.47837,9.03935,97.717,117.588,0.73201,-49.1489 
46,97,43.248,0,48.55,-0.2,0.19,0.01,46,10270.3,-0.00565949,22.7343,9.841,98.6399,-0.00232953,1.19779,156.234,0.361414,1.63749,2.58754,0.0947825,-0.911353,-121.056,4700.69,-15.4972,5669.72,7283.18,1.12367,2.39975,4.11205,0.857037,-0.149099,0.50715,4870.48,-2.92001,5839.51,0.501219,1.00105,-0.000921981,9717.27,0.000255686,0.733765,9.50068,8.16525,98.6209,68.6911,0.71089,9.82563,9.43196,98.0739,117.744,0.54704,-49.0529 
47,75,46.2227,0,46.05,0.2,-0.19,-0.01,47,3644.15,-0.0177281,8.59859,9.81461,98.178,-0.0149378,-32.0818,497.449,-1.05087,-0.528507,1.00087,-0.891835,-2.34549,-58.4847,-126.865,24.1671,3891.47,2762.83,-0.682611,-0.160244,1.7374,-0.523572,-1.97723,2.08165,-44.835,30.2435,3973.5,-0.0137819,-5.54128,0.0138269,3253.17,7.7742e-06,-0.00679391,7.98001,-10.225,92.6238,40,0.493671,9.58579,9.53494,97.8608,117.2,-5.23706,-77.2003 
48,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,48,4145.02,-0.0148256,9.05252,10.1317,98.6833,-0.0309537,-5.47886,455.916,0.162899,0.389247,-2.92738,-2.57387,1.43463,-55.9144,347.157,3.19704,3776.91,2991.23,0.514977,0.741325,-2.22322,-2.22179,1.78671,-0.585753,425.582,9.00633,3855.33,0.117386,0.964288,0.00428485,3625.51,0.000145339,0.0504529,10.2194,8.75516,99.0341,68.0055,0.463016,9.68849,9.92982,98.3605,118.028,0.673583,-50.0221 
49,97,43.248,4,48.55,-0.2,0.19,0.01,49,8506.95,-0.0207534,20.038,9.33911,98.6981,-0.096739,90.0822,338.632,0.109606,0.786039,4.50969,-1.51289,-1.12069,-130.871,3630.04,36.4591,4950.3,6375.62,0.933665,1.6101,6.15781,-0.68883,-0.296633,0.201954,3813.6,50.0561,5133.86,0.47229,0.977546,0.017644,8074.7,5.14138e-05,0.650017,8.85564,7.80903,98.8206,69.2712,0.6795,9.41706,9.17139,98.0674,118.677,0.753259,-49.4058 
