cyc,time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
42,45,0,42,17862.4,-0.373543,32.6974,13.1605,88.7548,0.728818,2233.9,371.593,-0.139427,-0.448491,-1.90031,-0.294157,0.175322,-124.537,5.13961,2779.85,6870.98,67008.3,0.644746,0.335682,-0.331961,0.490016,0.959495,1.15823,16.9022,2810.43,6882.74,0.00278285,0.00342486,0.429285,6073.71,13192.9,24.5551,200564,-0.000865753,-0.0127837,9.7639,8.93755,100,62,1.38167,13.0382,12.7886,88.8806,125.771,11.1194,-63.7709 
43,15,0,43,15050.9,-0.336927,28.0913,12.9982,88.7683,-1.2086,464.428,393.366,-0.380755,-0.0287502,-1.02849,1.41941,1.20076,-139.408,16.9325,2269.47,5940.99,30158.9,0.49706,0.849064,0.727136,2.29722,2.07857,0.887249,30.0997,2303.71,5954.16,0.00571179,0.00741083,0.416135,5269.76,9838.92,28.053,150074,-0.000991736,-0.010559,9.85944,8.5554,100,62,1.20112,12.9525,12.6764,88.8572,125.99,11.1428,-63.9897 
47,150,0,47,17525.5,-0.0387562,32.0354,12.9336,88.6396,-0.0573165,29.2814,500,-1.15013,-0.722548,1.56776,-0.835653,-2.29829,-113.364,-7.73402,2573.82,6684.55,13542.5,-0.43631,-0.00872615,2.9954,-0.121831,-1.58447,-2.54878,2.97331,2601.66,6695.25,0.000504395,0.000652632,0.417185,5894.8,12680.9,23.999,189449,-0.00126955,-0.00903856,-0.0696082,10.1718,98.456,63.5798,1.33237,13.1689,13.1065,88.732,126.239,9.72409,-62.6595 
48,75,0,48,16948.6,-0.070204,31.3199,12.8357,88.5985,0.138832,-138.825,500,-1.15364,-0.777431,-0.526906,-1.7489,0.16857,-125.169,1.08797,2379.55,6673.04,13714.3,-0.365486,0.0107277,1.04941,-0.960738,0.956728,-0.519468,12.9103,2410.29,6684.86,0.00218983,0.00305143,0.399107,5895.59,12371.2,25.2752,189938,-0.000996784,-0.0161754,10.7098,8.9603,99.1009,62,1.34995,12.9089,12.6925,88.6489,127.445,10.452,-65.4446 
49,30,0,49,16229.3,-0.357586,30.2399,12.9986,88.5418,0.30084,659.778,175.218,0.0327551,0.492252,-3.02318,-0.926774,0.0947443,-88.2211,7.69091,2635.08,6320.01,19257.3,0.58826,1.04776,-1.91217,-0.37127,0.650249,678.15,16.0235,2656.75,6328.34,0.00286904,0.00343458,0.436095,5584.96,11184.9,20.0181,169768,-0.00102135,-0.0124265,10.6197,8.08478,100,62,1.27102,12.9478,12.893,88.6189,126.504,11.3811,-64.5035 
50,1,0,50,16128.6,-0.121984,29.1071,13.103,88.6884,0.0273233,357.798,500,-0.301734,-2.56627,0.190258,-0.125808,0.489926,-127.136,19.5798,2380.22,6191.66,12733.8,0.498806,-1.76573,1.79134,0.674732,1.29047,0.280476,31.5879,2411.44,6203.66,0.00575287,0.00742964,0.417266,5490.81,10592.2,25.6893,163517,-0.00053877,-0.013261,-9.9174,-6.48458,100,62,1.24238,12.8856,12.8027,88.7668,127.021,11.2332,-65.0212 
55,60,0,55,16017.9,-0.0366645,29.8835,12.7038,88.5355,0.0108295,-0.283217,500,-0.748931,0.337364,-1.2312,-0.687565,-0.605618,-129.074,-2.95463,2512.43,6387.93,12358.5,0.0638165,1.15011,0.394291,0.125182,0.20713,0.796813,9.23659,2544.13,6400.12,0.0016373,0.0020703,0.42272,5641.34,11232.2,22.8279,173769,-0.00103753,-0.0150529,11.3746,8.93192,99.9998,62,1.28753,12.8493,12.7083,88.575,128.769,11.4248,-66.7693 
58,105,0,58,15918,-0.0198398,29.1531,12.8281,88.9895,-5.87914e-05,2.8208,500,-0.996478,-2.11321,-2.17137,-0.843901,-1.4874,-102.072,10.4784,2219.71,6257.46,12174.3,-0.353761,-1.47049,-0.885938,-0.201183,-0.844679,0.764131,20.1191,2244.78,6267.1,0.00363479,0.00509542,0.397522,5535.17,10778.5,21.4049,166603,-0.000783126,-0.0102603,8.20896,9.12662,100,62,1.26491,12.8368,12.6384,89.0265,125.316,10.9735,-63.3164 
59,120,0,59,17578.6,-0.403569,32.3626,13.2017,88.3818,2.80162,-3482.84,499.915,-2.2359,0.788286,-0.872281,-0.346003,-1.79391,-86.4957,9.01363,2524.67,6746.8,331550,-1.69126,1.33293,0.217,0.198637,-1.24927,1.18205,17.1832,2545.91,6754.97,0.00288234,0.00384195,0.409779,5961.55,12799.5,24.0914,193426,-0.00108763,-0.0143243,9.26993,10.2625,100,62,1.34457,13.1164,13.0306,88.5595,126.289,11.4405,-64.2892 
60,120,0,60,17238,-0.0888019,31.4925,13.02,88.4697,-0.0398341,56.4149,500,-2.36133,0.266512,-2.24157,-0.342305,-1.07092,-76.6369,4.48089,2621.83,6652.16,13421,-1.87877,0.749074,-1.27645,0.140257,-0.588361,0.552789,11.7193,2640.65,6659.4,0.0019958,0.00252961,0.422116,5871.99,12488.7,22.0478,187873,-0.00110185,-0.0124447,9.68109,9.27024,100,62,1.33631,13.1318,12.8533,88.5763,125.847,11.4237,-63.8472 
