cyc,field,FB,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
21,202.5,3.509,43.3,10,21,29870,0.0238719,48.7895,13.532,115.884,-0.0387588,34.0363,9.81084e-12,0.111388,-1.87237,1.47675,3.05243,-2.3044,9.8787,15350,90.98,13775.3,21535.3,0.049184,-1.93457,1.35235,2.99022,-2.3666,-13.93,15342.1,90.2646,13767.5,0.496519,0.989809,0.0119334,30899.4,-0.000185638,1.2478,13.7539,-11.2922,115.27,90.0323,1.01627,13.5394,12.7065,115.234,140.122,0.0360482,-50.0896,603.755,544.745,1148.5 
22,202.5,3.509,43.26,10,22,27272.6,-0.0921163,45.6614,13.246,115.737,0.204538,-214.397,500,-0.717912,2.64053,0.0819087,-3.11832,-1.76562,26.0245,14230.7,59.5747,12568.1,21116.8,-0.881781,2.47666,-0.24583,-3.28219,-1.92949,0.936357,14209.9,57.6902,12547.4,0.500553,0.992945,0.00839849,28388.4,-0.000357163,1.20011,13.511,-11.085,115.11,91.1365,0.958165,13.3108,12.5018,115.089,141.499,0.0219698,-50.3628,559.753,496.582,1056.34 
23,202.5,3.509,43.5,10,23,30298,-0.0186052,50.1375,13.3,115.747,0.0381171,-76.1538,1.676e-11,-0.947651,-2.94033,0.0731277,0.507098,-1.84515,38.5127,15163.8,97.7102,14334.7,21801.9,-1.19016,-3.18283,-0.411881,0.264593,-2.08765,0.937669,15133.1,94.9214,14304,0.483537,0.989142,0.0120766,31296.6,-7.34304e-05,1.27322,13.4584,-11.1235,115.082,90.6919,1.0838,13.3953,12.5167,115.123,140.748,-0.0406694,-50.0563,593.697,565.986,1159.68 
24,202.5,3.509,43.22,10,24,29665.2,-0.12001,49.3388,13.336,115.989,-0.0209302,153.29,487.537,0.452637,1.31329,1.48876,-1.82824,-0.381945,22.9535,15632.6,111.89,13429.3,21523.9,0.308105,1.16876,1.1997,-1.97277,-0.526477,-5.7661,15614.4,110.228,13411,0.507473,0.987797,0.0149148,30768.8,-0.000231045,1.29885,13.5669,-11.1836,115.424,89.8219,1.03339,13.344,12.3054,115.335,139.864,0.0889709,-50.0423,613.729,528.506,1142.23 
25,202.5,3.509,43.44,10,25,29973.2,-0.132796,49.7994,13.3761,115.75,0.00201183,-16.5361,159.924,-2.6153,-0.512158,2.78235,1.43201,-0.592104,27.902,15342.5,88.073,14036.4,21685.6,-2.791,-0.68785,2.43096,1.25632,-0.767796,5.34597,15320.3,86.0525,14014.1,0.491724,0.990266,0.0111848,31156.2,-0.000301641,1.30101,13.5133,-11.02,115.182,90.4914,1.07158,13.4061,12.3744,115.048,140.522,0.134693,-50.0303,603.364,553.619,1156.98 
26,202.5,3.509,43.32,10,26,29034.9,-0.156479,48.6842,13.319,115.781,-0.0295693,119.384,3.69503,-1.07927,0.435893,-0.150671,-1.47507,0.780712,38.349,14444.3,91.0604,14177.3,21223.3,-1.32074,0.194419,-0.633618,-1.71655,0.539239,0.784282,14413.8,88.2835,14146.8,0.474144,0.989395,0.0113651,30399.6,-0.000358443,1.24797,13.4004,10.8676,115.189,89.8255,1.12204,13.3009,11.9979,115.044,139.938,0.144587,-50.1122,565.861,557.47,1123.33 
27,202.5,3.509,43.48,10,27,31330.5,-0.0405653,52.2998,13.2857,115.87,0.104514,-27.7648,500,-2.65746,0.960377,4.23039,-1.13943,-2.41929,22.4636,16137.9,83.6385,14658.2,22713.8,-2.7989,0.818929,3.9475,-1.28088,-2.56073,3.10636,16120,82.0118,14640.3,0.493517,0.991175,0.0102137,32663.5,-0.000356276,1.39458,13.4736,-10.8432,115.179,90.6815,1.1469,13.2511,12.1834,115.251,140.759,-0.0721007,-50.078,634.39,576.521,1210.91 
28,202.5,3.509,43.4,10,28,31217.2,-0.156923,51.7901,13.4366,115.957,0.303183,68.3192,413.571,-0.97562,-0.971661,-1.71838,-0.925041,-0.16055,59.4301,16270.7,130.416,14381.7,23327.5,-1.34984,-1.34588,-2.46681,-1.29926,-0.534766,0.647424,16223.3,126.112,14334.4,0.500392,0.986579,0.0159482,32421.2,-0.000324679,1.36203,13.5383,-11.1222,115.369,89.9659,1.10394,13.4179,12.286,115.247,139.858,0.122253,-49.8921,638.703,566.807,1205.51 
29,202.5,3.509,42,0,29,31359.8,-0.0199495,51.4173,13.4684,115.939,-0.00642495,-1.29927,500,0.768242,1.02728,1.18076,-0.0141946,2.87773,52.9356,15868.5,118.308,14702.8,22543.7,0.43492,0.693958,0.514115,-0.347516,2.54441,0.866112,15826.4,114.475,14660.6,0.488576,0.9875,0.0141799,32392.8,-0.000113297,1.31575,13.6544,-11.1163,115.423,90.2395,1.10101,13.464,12.559,115.318,140.297,0.104543,-50.0572,622.069,579.898,1201.97 
30,202.5,3.509,43.28,10,30,28750.4,-0.135616,47.9614,13.3415,115.823,-0.0390353,144.441,18.3965,-0.727424,-1.04784,2.61164,-0.0821235,0.347953,24.8903,14976.2,77.1693,13257.3,21013.6,-0.884152,-1.20457,2.29819,-0.238851,0.191225,-13.2006,14956.4,75.3669,13237.4,0.499968,0.991259,0.0103791,29914.7,-0.000373442,1.25652,13.5251,-11.1341,115.105,90.6433,1.00797,13.4187,12.4434,115.226,140.721,-0.121152,-50.0777,589.312,524.214,1113.53 
